LocationXYZ,BlockType,Command,CommandOptions,RoomName,FeatureType
-2219 60 38,gravel,,,,Rubble
-2219 61 38,gravel,,,,Rubble
-2220 61 36,gravel,,,,Rubble
-2220 62 36,gravel,,,,Rubble
-2220 60 37,gravel,,,,Rubble
-2220 61 37,gravel,,,,Rubble
-2220 62 37,gravel,,,,Rubble
-2221 60 37,gravel,,,,Rubble
-2221 61 37,gravel,,,,Rubble
-2221 62 37,gravel,,,,Rubble
-2221 60 36,gravel,,,,Rubble
-2221 61 36,gravel,,,,Rubble
-2221 62 36,gravel,,,,Rubble
-2222 60 36,gravel,,,,Rubble
-2222 61 36,gravel,,,,Rubble
-2222 62 36,gravel,,,,Rubble
-2223 60 36,gravel,,,,Rubble
-2223 61 36,gravel,,,,Rubble
-2223 62 36,gravel,,,,Rubble
-2223 60 37,gravel,,,,Rubble
-2223 61 37,gravel,,,,Rubble
-2223 62 37,gravel,,,,Rubble
-2224 60 37,gravel,,,,Rubble
-2224 61 37,gravel,,,,Rubble
-2220 61 36,gravel,,,,Rubble
-2222 61 37,gravel,,,,Rubble
-2217 60 57,gravel,,,,Rubble
-2217 61 57,gravel,,,,Rubble
-2217 60 58,gravel,,,,Rubble
-2217 61 58,gravel,,,,Rubble
-2218 60 58,gravel,,,,Rubble
-2218 61 58,gravel,,,,Rubble
-2193 60 -1,gravel,,,,Rubble
-2193 61 -1,gravel,,,,Rubble
-2193 62 -1,gravel,,,,Rubble
-2193 60 1,gravel,,,,Rubble
-2193 61 1,gravel,,,,Rubble
-2193 62 1,gravel,,,,Rubble
-2194 60 -1,gravel,,,,Rubble
-2194 61 -1,gravel,,,,Rubble
-2194 62 -1,gravel,,,,Rubble
-2194 60 0,gravel,,,,Rubble
-2194 61 0,gravel,,,,Rubble
-2194 62 0,gravel,,,,Rubble
-2194 60 1,gravel,,,,Rubble
-2194 61 1,gravel,,,,Rubble
-2194 62 1,gravel,,,,Rubble
-2193 61 0,gravel,,,,Rubble
-2193 62 0,gravel,,,,Rubble
-2194 60 14,gravel,,,,Rubble
-2194 61 14,gravel,,,,Rubble
-2194 62 14,gravel,,,,Rubble
-2193 60 14,gravel,,,,Rubble
-2193 61 14,gravel,,,,Rubble
-2193 62 14,gravel,,,,Rubble
-2193 60 15,gravel,,,,Rubble
-2193 61 15,gravel,,,,Rubble
-2193 62 15,gravel,,,,Rubble
-2194 61 15,gravel,,,,Rubble
-2208 60 29,gravel,,,,Rubble
-2208 61 29,gravel,,,,Rubble
-2208 62 29,gravel,,,,Rubble
-2208 60 30,gravel,,,,Rubble
-2208 61 30,gravel,,,,Rubble
-2208 62 30,gravel,,,,Rubble
-2209 60 30,gravel,,,,Rubble
-2209 61 30,gravel,,,,Rubble
-2209 62 30,gravel,,,,Rubble
-2209 60 31,gravel,,,,Rubble
-2209 61 31,gravel,,,,Rubble
-2209 62 31,gravel,,,,Rubble
-2190 60 28,gravel,,,,Rubble
-2190 61 28,gravel,,,,Rubble
-2190 62 28,gravel,,,,Rubble
-2190 60 29,gravel,,,,Rubble
-2190 61 29,gravel,,,,Rubble
-2190 62 29,gravel,,,,Rubble
-2189 60 27,gravel,,,,Rubble
-2189 61 27,gravel,,,,Rubble
-2189 62 27,gravel,,,,Rubble
-2189 60 28,gravel,,,,Rubble
-2189 61 28,gravel,,,,Rubble
-2189 62 28,gravel,,,,Rubble
-2189 60 29,gravel,,,,Rubble
-2189 61 29,gravel,,,,Rubble
-2189 62 29,gravel,,,,Rubble
-2188 60 27,gravel,,,,Rubble
-2188 61 27,gravel,,,,Rubble
-2188 62 27,gravel,,,,Rubble
-2188 60 28,gravel,,,,Rubble
-2188 61 28,gravel,,,,Rubble
-2188 62 28,gravel,,,,Rubble
-2188 60 29,gravel,,,,Rubble
-2188 61 29,gravel,,,,Rubble
-2188 62 29,gravel,,,,Rubble
-2187 60 27,gravel,,,,Rubble
-2187 61 27,gravel,,,,Rubble
-2187 62 27,gravel,,,,Rubble
-2187 60 28,gravel,,,,Rubble
-2187 61 28,gravel,,,,Rubble
-2187 62 28,gravel,,,,Rubble
-2186 60 28,gravel,,,,Rubble
-2186 61 28,gravel,,,,Rubble
-2186 62 28,gravel,,,,Rubble
-2200 60 36,gravel,,,,Rubble
-2199 60 36,gravel,,,,Rubble
-2199 61 36,gravel,,,,Rubble
-2204 60 37,gravel,,,,Rubble
-2204 61 37,gravel,,,,Rubble
-2204 60 38,gravel,,,,Rubble
-2204 61 38,gravel,,,,Rubble
-2204 60 39,gravel,,,,Rubble
-2204 61 39,gravel,,,,Rubble
-2204 62 39,gravel,,,,Rubble
-2203 61 39,gravel,,,,Rubble
-2193 60 39,gravel,,,,Rubble
-2192 60 38,gravel,,,,Rubble
-2192 61 38,gravel,,,,Rubble
-2192 60 39,gravel,,,,Rubble
-2192 61 39,gravel,,,,Rubble
-2210 60 41,gravel,,,,Rubble
-2210 61 41,gravel,,,,Rubble
-2210 60 42,gravel,,,,Rubble
-2210 61 42,gravel,,,,Rubble
-2210 62 42,gravel,,,,Rubble
-2209 60 42,gravel,,,,Rubble
-2209 61 42,gravel,,,,Rubble
-2209 60 43,gravel,,,,Rubble
-2209 61 43,gravel,,,,Rubble
-2209 62 43,gravel,,,,Rubble
-2209 60 44,gravel,,,,Rubble
-2209 61 44,gravel,,,,Rubble
-2209 62 44,gravel,,,,Rubble
-2208 60 44,gravel,,,,Rubble
-2208 61 44,gravel,,,,Rubble
-2208 60 45,gravel,,,,Rubble
-2208 61 45,gravel,,,,Rubble
-2200 60 47,gravel,,,,Rubble
-2200 61 47,gravel,,,,Rubble
-2200 60 48,gravel,,,,Rubble
-2200 62 48,gravel,,,,Rubble
-2201 60 50,gravel,,,,Rubble
-2201 60 52,gravel,,,,Rubble
-2201 61 52,gravel,,,,Rubble
-2201 60 53,gravel,,,,Rubble
-2201 61 53,gravel,,,,Rubble
-2201 62 53,gravel,,,,Rubble
-2202 60 56,gravel,,,,Rubble
-2202 61 56,gravel,,,,Rubble
-2202 60 57,gravel,,,,Rubble
-2201 60 55,gravel,,,,Rubble
-2201 61 55,gravel,,,,Rubble
-2201 60 57,gravel,,,,Rubble
-2201 61 57,gravel,,,,Rubble
-2201 62 57,gravel,,,,Rubble
-2200 60 55,gravel,,,,Rubble
-2200 61 55,gravel,,,,Rubble
-2200 62 55,gravel,,,,Rubble
-2200 60 56,gravel,,,,Rubble
-2200 61 56,gravel,,,,Rubble
-2200 62 56,gravel,,,,Rubble
-2200 60 57,gravel,,,,Rubble
-2200 61 57,gravel,,,,Rubble
-2200 62 57,gravel,,,,Rubble
-2200 60 58,gravel,,,,Rubble
-2200 61 58,gravel,,,,Rubble
-2200 62 58,gravel,,,,Rubble
-2200 60 59,gravel,,,,Rubble
-2200 61 59,gravel,,,,Rubble
-2199 60 57,gravel,,,,Rubble
-2199 61 57,gravel,,,,Rubble
-2199 60 58,gravel,,,,Rubble
-2201 61 56,gravel,,,,Rubble
-2201 62 56,gravel,,,,Rubble
-2184 60 -1,gravel,,,,Rubble
-2184 60 1,gravel,,,,Rubble
-2184 61 1,gravel,,,,Rubble
-2184 60 2,gravel,,,,Rubble
-2184 61 2,gravel,,,,Rubble
-2183 60 2,gravel,,,,Rubble
-2183 61 2,gravel,,,,Rubble
-2182 60 8,gravel,,,,Rubble
-2182 61 8,gravel,,,,Rubble
-2182 60 9,gravel,,,,Rubble
-2182 61 9,gravel,,,,Rubble
-2181 60 8,gravel,,,,Rubble
-2181 61 8,gravel,,,,Rubble
-2173 61 8,gravel,,,,Rubble
-2172 60 8,gravel,,,,Rubble
-2171 60 8,gravel,,,,Rubble
-2171 61 8,gravel,,,,Rubble
-2171 60 9,gravel,,,,Rubble
-2171 61 9,gravel,,,,Rubble
-2166 60 9,gravel,,,,Rubble
-2166 61 9,gravel,,,,Rubble
-2163 60 8,gravel,,,,Rubble
-2163 61 8,gravel,,,,Rubble
-2162 60 8,gravel,,,,Rubble
-2162 61 8,gravel,,,,Rubble
-2163 60 9,gravel,,,,Rubble
-2163 60 11,gravel,,,,Rubble
-2163 61 11,gravel,,,,Rubble
-2169 61 14,gravel,,,,Rubble
-2169 60 15,gravel,,,,Rubble
-2169 61 15,gravel,,,,Rubble
-2169 60 16,gravel,,,,Rubble
-2169 61 16,gravel,,,,Rubble
-2168 60 14,gravel,,,,Rubble
-2168 61 14,gravel,,,,Rubble
-2168 60 15,gravel,,,,Rubble
-2168 61 15,gravel,,,,Rubble
-2168 60 30,gravel,,,,Rubble
-2168 61 30,gravel,,,,Rubble
-2167 60 30,gravel,,,,Rubble
-2167 61 30,gravel,,,,Rubble
-2180 60 35,gravel,,,,Rubble
-2180 60 36,gravel,,,,Rubble
-2179 60 35,gravel,,,,Rubble
-2179 61 35,gravel,,,,Rubble
-2178 61 35,gravel,,,,Rubble
-2178 60 36,gravel,,,,Rubble
-2178 61 36,gravel,,,,Rubble
-2177 60 35,gravel,,,,Rubble
-2177 61 35,gravel,,,,Rubble
-2167 60 34,gravel,,,,Rubble
-2167 61 34,gravel,,,,Rubble
-2167 60 35,gravel,,,,Rubble
-2167 61 35,gravel,,,,Rubble
-2166 60 35,gravel,,,,Rubble
-2166 61 35,gravel,,,,Rubble
-2166 61 34,gravel,,,,Rubble
-2165 60 34,gravel,,,,Rubble
-2165 61 34,gravel,,,,Rubble
-2165 60 35,gravel,,,,Rubble
-2165 61 35,gravel,,,,Rubble
-2160 60 38,gravel,,,,Rubble
-2158 60 37,gravel,,,,Rubble
-2158 61 37,gravel,,,,Rubble
-2158 60 38,gravel,,,,Rubble
-2158 61 38,gravel,,,,Rubble
-2158 60 39,gravel,,,,Rubble
-2158 61 39,gravel,,,,Rubble
-2184 60 44,gravel,,,,Rubble
-2184 61 44,gravel,,,,Rubble
-2184 60 45,gravel,,,,Rubble
-2184 61 45,gravel,,,,Rubble
-2182 60 45,gravel,,,,Rubble
-2182 61 45,gravel,,,,Rubble
-2167 60 46,gravel,,,,Rubble
-2167 60 47,gravel,,,,Rubble
-2167 61 47,gravel,,,,Rubble
-2167 61 48,gravel,,,,Rubble
-2167 60 49,gravel,,,,Rubble
-2166 60 47,gravel,,,,Rubble
-2166 61 48,gravel,,,,Rubble
-2166 60 49,gravel,,,,Rubble
-2133 60 -1,gravel,,,,Rubble
-2134 60 -1,gravel,,,,Rubble
-2134 61 -1,gravel,,,,Rubble
-2134 60 0,gravel,,,,Rubble
-2134 61 0,gravel,,,,Rubble
-2135 60 0,gravel,,,,Rubble
-2135 61 0,gravel,,,,Rubble
-2135 60 1,gravel,,,,Rubble
-2135 61 1,gravel,,,,Rubble
-2136 60 1,gravel,,,,Rubble
-2136 61 1,gravel,,,,Rubble
-2136 60 2,gravel,,,,Rubble
-2136 61 2,gravel,,,,Rubble
-2136 60 3,gravel,,,,Rubble
-2136 61 3,gravel,,,,Rubble
-2137 60 2,gravel,,,,Rubble
-2137 60 3,gravel,,,,Rubble
-2137 61 3,gravel,,,,Rubble
-2138 60 3,gravel,,,,Rubble
-2150 60 12,gravel,,,,Rubble
-2150 61 12,gravel,,,,Rubble
-2150 60 13,gravel,,,,Rubble
-2150 61 13,gravel,,,,Rubble
-2150 60 14,gravel,,,,Rubble
-2151 60 13,gravel,,,,Rubble
-2151 61 13,gravel,,,,Rubble
-2151 60 14,gravel,,,,Rubble
-2151 61 14,gravel,,,,Rubble
-2151 60 15,gravel,,,,Rubble
-2152 60 14,gravel,,,,Rubble
-2154 60 23,gravel,,,,Rubble
-2154 61 23,gravel,,,,Rubble
-2154 60 24,gravel,,,,Rubble
-2154 60 25,gravel,,,,Rubble
-2154 61 25,gravel,,,,Rubble
-2154 61 26,gravel,,,,Rubble
-2153 60 24,gravel,,,,Rubble
-2153 61 24,gravel,,,,Rubble
-2146 60 23,gravel,,,,Rubble
-2145 60 22,gravel,,,,Rubble
-2145 61 22,gravel,,,,Rubble
-2145 60 23,gravel,,,,Rubble
-2145 61 23,gravel,,,,Rubble
-2145 60 24,gravel,,,,Rubble
-2145 61 24,gravel,,,,Rubble
-2144 60 22,gravel,,,,Rubble
-2144 61 22,gravel,,,,Rubble
-2144 60 23,gravel,,,,Rubble
-2144 61 23,gravel,,,,Rubble
-2144 60 24,gravel,,,,Rubble
-2144 61 24,gravel,,,,Rubble
-2140 60 39,gravel,,,,Rubble
-2140 61 39,gravel,,,,Rubble
-2140 61 40,gravel,,,,Rubble
-2140 61 41,gravel,,,,Rubble
-2139 60 39,gravel,,,,Rubble
-2139 61 39,gravel,,,,Rubble
-2139 60 40,gravel,,,,Rubble
-2139 61 40,gravel,,,,Rubble
-2139 60 41,gravel,,,,Rubble
-2139 61 41,gravel,,,,Rubble
-2151 60 44,gravel,,,,Rubble
-2151 60 45,gravel,,,,Rubble
-2151 61 45,gravel,,,,Rubble
-2151 60 46,gravel,,,,Rubble
-2151 61 46,gravel,,,,Rubble
-2151 60 47,gravel,,,,Rubble
-2152 60 45,gravel,,,,Rubble
-2142 60 52,gravel,,,,Rubble
-2142 60 53,gravel,,,,Rubble
-2142 61 53,gravel,,,,Rubble
-2141 61 52,gravel,,,,Rubble
-2140 60 53,gravel,,,,Rubble
-2137 60 53,gravel,,,,Rubble
-2137 61 53,gravel,,,,Rubble
-2136 60 52,gravel,,,,Rubble
-2136 60 53,gravel,,,,Rubble
-2136 61 53,gravel,,,,Rubble
-2157 60 60,gravel,,,,Rubble
-2156 60 59,gravel,,,,Rubble
-2156 60 60,gravel,,,,Rubble
-2156 61 60,gravel,,,,Rubble
-2155 60 59,gravel,,,,Rubble
-2155 61 59,gravel,,,,Rubble
-2155 60 60,gravel,,,,Rubble
-2155 61 60,gravel,,,,Rubble
-2154 60 59,gravel,,,,Rubble
-2154 60 60,gravel,,,,Rubble
-2154 61 60,gravel,,,,Rubble
-2153 60 59,gravel,,,,Rubble
-2153 60 60,gravel,,,,Rubble
-2153 61 60,gravel,,,,Rubble
-2152 60 60,gravel,,,,Rubble
-2152 61 60,gravel,,,,Rubble
-2151 60 60,gravel,,,,Rubble
-2114 60 -1,gravel,,,,Rubble
-2114 60 0,gravel,,,,Rubble
-2113 60 -1,gravel,,,,Rubble
-2113 61 -1,gravel,,,,Rubble
-2113 60 0,gravel,,,,Rubble
-2113 61 0,gravel,,,,Rubble
-2113 60 1,gravel,,,,Rubble
-2112 61 -1,gravel,,,,Rubble
-2112 60 0,gravel,,,,Rubble
-2112 61 0,gravel,,,,Rubble
-2112 60 1,gravel,,,,Rubble
-2111 60 -1,gravel,,,,Rubble
-2111 61 -1,gravel,,,,Rubble
-2111 62 -1,gravel,,,,Rubble
-2111 60 0,gravel,,,,Rubble
-2111 61 0,gravel,,,,Rubble
-2111 60 1,gravel,,,,Rubble
-2110 60 -1,gravel,,,,Rubble
-2110 60 0,gravel,,,,Rubble
-2130 60 18,gravel,,,,Rubble
-2130 61 18,gravel,,,,Rubble
-2130 60 19,gravel,,,,Rubble
-2130 61 19,gravel,,,,Rubble
-2130 61 20,gravel,,,,Rubble
-2131 60 19,gravel,,,,Rubble
-2131 61 19,gravel,,,,Rubble
-2131 60 20,gravel,,,,Rubble
-2131 61 20,gravel,,,,Rubble
-2112 60 18,gravel,,,,Rubble
-2111 60 17,gravel,,,,Rubble
-2111 60 18,gravel,,,,Rubble
-2111 61 18,gravel,,,,Rubble
-2111 60 19,gravel,,,,Rubble
-2109 60 16,gravel,,,,Rubble
-2109 61 16,gravel,,,,Rubble
-2109 61 17,gravel,,,,Rubble
-2109 60 18,gravel,,,,Rubble
-2109 61 18,gravel,,,,Rubble
-2108 60 16,gravel,,,,Rubble
-2108 61 16,gravel,,,,Rubble
-2108 60 17,gravel,,,,Rubble
-2108 61 17,gravel,,,,Rubble
-2129 60 34,gravel,,,,Rubble
-2129 60 35,gravel,,,,Rubble
-2129 61 35,gravel,,,,Rubble
-2129 60 36,gravel,,,,Rubble
-2129 61 36,gravel,,,,Rubble
-2129 62 36,gravel,,,,Rubble
-2128 60 35,gravel,,,,Rubble
-2128 60 36,gravel,,,,Rubble
-2128 61 36,gravel,,,,Rubble
-2128 60 37,gravel,,,,Rubble
-2126 60 33,gravel,,,,Rubble
-2125 60 33,gravel,,,,Rubble
-2124 60 33,gravel,,,,Rubble
-2122 60 32,gravel,,,,Rubble
-2122 60 33,gravel,,,,Rubble
-2122 61 33,gravel,,,,Rubble
-2121 60 33,gravel,,,,Rubble
-2121 61 33,gravel,,,,Rubble
-2120 60 33,gravel,,,,Rubble
-2120 61 33,gravel,,,,Rubble
-2120 60 34,gravel,,,,Rubble
-2120 61 34,gravel,,,,Rubble
-2119 60 34,gravel,,,,Rubble
-2119 61 34,gravel,,,,Rubble
-2119 60 35,gravel,,,,Rubble
-2118 60 33,gravel,,,,Rubble
-2118 60 34,gravel,,,,Rubble
-2118 61 34,gravel,,,,Rubble
-2118 60 35,gravel,,,,Rubble
-2118 61 35,gravel,,,,Rubble
-2117 60 33,gravel,,,,Rubble
-2117 61 33,gravel,,,,Rubble
-2117 61 34,gravel,,,,Rubble
-2117 62 34,gravel,,,,Rubble
-2117 60 35,gravel,,,,Rubble
-2117 61 35,gravel,,,,Rubble
-2116 60 51,gravel,,,,Rubble
-2116 61 51,gravel,,,,Rubble
-2115 60 51,gravel,,,,Rubble
-2115 60 52,gravel,,,,Rubble
-2115 61 52,gravel,,,,Rubble
-2115 61 53,gravel,,,,Rubble
-2114 60 52,gravel,,,,Rubble
-2114 61 52,gravel,,,,Rubble
-2114 60 53,gravel,,,,Rubble
-2114 61 53,gravel,,,,Rubble
-2096 60 -1,gravel,,,,Rubble
-2095 60 -1,gravel,,,,Rubble
-2095 61 -1,gravel,,,,Rubble
-2095 60 0,gravel,,,,Rubble
-2095 61 0,gravel,,,,Rubble
-2094 60 0,gravel,,,,Rubble
-2094 61 0,gravel,,,,Rubble
-2094 60 1,gravel,,,,Rubble
-2094 61 1,gravel,,,,Rubble
-2094 62 1,gravel,,,,Rubble
-2093 60 1,gravel,,,,Rubble
-2093 61 1,gravel,,,,Rubble
-2091 60 6,gravel,,,,Rubble
-2091 61 6,gravel,,,,Rubble
-2091 60 7,gravel,,,,Rubble
-2091 61 7,gravel,,,,Rubble
-2101 60 20,gravel,,,,Rubble
-2101 60 21,gravel,,,,Rubble
-2101 60 22,gravel,,,,Rubble
-2101 61 22,gravel,,,,Rubble
-2100 60 22,gravel,,,,Rubble
-2100 61 22,gravel,,,,Rubble
-2100 60 23,gravel,,,,Rubble
-2100 61 23,gravel,,,,Rubble
-2099 60 23,gravel,,,,Rubble
-2099 60 24,gravel,,,,Rubble
-2092 60 22,gravel,,,,Rubble
-2092 60 23,gravel,,,,Rubble
-2092 60 24,gravel,,,,Rubble
-2091 60 22,gravel,,,,Rubble
-2091 61 22,gravel,,,,Rubble
-2091 60 23,gravel,,,,Rubble
-2091 61 23,gravel,,,,Rubble
-2090 60 34,gravel,,,,Rubble
-2090 61 34,gravel,,,,Rubble
-2090 61 35,gravel,,,,Rubble
-2090 62 35,gravel,,,,Rubble
-2090 60 36,gravel,,,,Rubble
-2090 61 36,gravel,,,,Rubble
-2090 62 36,gravel,,,,Rubble
-2089 60 35,gravel,,,,Rubble
-2089 60 36,gravel,,,,Rubble
-2089 61 36,gravel,,,,Rubble
-2089 62 36,gravel,,,,Rubble
-2089 60 37,gravel,,,,Rubble
-2089 61 37,gravel,,,,Rubble
-2088 60 37,gravel,,,,Rubble
-2088 61 37,gravel,,,,Rubble
-2088 60 38,gravel,,,,Rubble
-2105 60 55,gravel,,,,Rubble
-2104 60 55,gravel,,,,Rubble
-2104 61 55,gravel,,,,Rubble
-2104 60 56,gravel,,,,Rubble
-2103 60 55,gravel,,,,Rubble
-2103 61 55,gravel,,,,Rubble
-2103 60 56,gravel,,,,Rubble
-2103 61 56,gravel,,,,Rubble
-2103 60 57,gravel,,,,Rubble
-2102 60 55,gravel,,,,Rubble
-2102 61 55,gravel,,,,Rubble
-2102 61 56,gravel,,,,Rubble
-2102 60 57,gravel,,,,Rubble
-2102 61 57,gravel,,,,Rubble
-2102 60 58,gravel,,,,Rubble
-2102 61 58,gravel,,,,Rubble
-2102 60 59,gravel,,,,Rubble
-2101 60 56,gravel,,,,Rubble
-2101 61 56,gravel,,,,Rubble
-2101 60 57,gravel,,,,Rubble
-2101 61 57,gravel,,,,Rubble
-2101 60 58,gravel,,,,Rubble
